items,hessian,term,estimate,std.error,statistic,p.value,coefficient_type
Q9ProtectSLR,378.56358903197827,Q5>10years,0.36078797843853533,0.5675327116118013,0.6357130982175321,0.5249634375872079,beta
Q9ProtectSLR,378.56358903197827,Q51-5years,0.8653565985928832,0.6009019256085057,1.4400962315382437,0.14984017513488945,beta
Q9ProtectSLR,378.56358903197827,Q55-10years,-0.17413317257846347,0.5950429340478155,-0.292639677937039,0.7697975821470591,beta
Q9ProtectSLR,378.56358903197827,Q8Diploma,0.4400815255469724,0.5805528037787888,0.7580387566514261,0.4484277812929531,beta
Q9ProtectSLR,378.56358903197827,Q8Masters,-0.24466731792088633,0.30570421269520515,-0.8003400272564313,0.42351381791533615,beta
Q9ProtectSLR,378.56358903197827,Q8Other,0.6713178953976339,1.371681327221105,0.48941243281167907,0.6245497357488076,beta
Q9ProtectSLR,378.56358903197827,Q8PhD,-0.30818788169209904,0.2846156074125038,-1.082821439392925,0.27888768742583064,beta
Q9ProtectSLR,378.56358903197827,Q8TechnicalSecondaryOrLess,-1.9640858233322283,0.6658224141779137,-2.9498643805154434,0.003179134458416125,beta
Q9ProtectErosion,395.6239940553727,Q1Nonprofit,-0.3388886194937444,0.3610932984097099,-0.938507086634515,0.3479838768140426,beta
Q9ProtectErosion,395.6239940553727,Q1Other,0.9007842648239566,0.4264909795919269,2.1120828057977703,0.034679347503496404,beta
Q9ProtectErosion,395.6239940553727,Q1Private,0.5996293953783568,0.5601900803608048,1.0704034512573841,0.2844377464814268,beta
Q9ProtectErosion,395.6239940553727,Q1Research,0.4068624322666919,0.302393018705739,1.3454756131873962,0.17847169149019868,beta
Q9ProtectErosion,395.6239940553727,Q7_continentAmerica,1.7023968854000686,0.5960291544928117,2.856230895028475,0.004287032461226988,beta
Q9ProtectErosion,395.6239940553727,Q7_continentAsia,1.5415757307113782,0.8619844227698823,1.7884032355917892,0.07371097467802794,beta
Q9ProtectErosion,395.6239940553727,Q7_continentAustralia,2.0255824509755773,0.7609104937539792,2.6620508819405204,0.007766613717462979,beta
Q9ProtectErosion,395.6239940553727,Q7_continentEurope,1.2950458833577558,0.5577907504182806,2.32174140999401,0.020246863761907926,beta
Q9ProtectErosion,395.6239940553727,Q8Diploma,0.46642159188119,0.6110404303530953,0.763323617737805,0.4452704202768935,beta
Q9ProtectErosion,395.6239940553727,Q8Masters,0.17226164557848012,0.31680195608444656,0.5437518369759123,0.5866122558953355,beta
Q9ProtectErosion,395.6239940553727,Q8Other,2.3882555447279037,1.3118655533181551,1.8205032815193534,0.06868239698078696,beta
Q9ProtectErosion,395.6239940553727,Q8PhD,0.2578696513495853,0.3254316912945366,0.7923925611663821,0.4281318155301104,beta
Q9ProtectErosion,395.6239940553727,Q8TechnicalSecondaryOrLess,-2.901301286550404,0.7354447023417109,-3.94496184051968,7.981268748903071e-5,beta
Q9ProtectSurge,459.3227534536622,Q5>10years,-0.21889762386028958,0.6119807187628475,-0.35768712501727684,0.7205774692605749,beta
Q9ProtectSurge,459.3227534536622,Q51-5years,0.4563249103300094,0.6410971822768042,0.7117874215410037,0.47659642293685245,beta
Q9ProtectSurge,459.3227534536622,Q55-10years,-0.4737332426601411,0.6405255686673197,-0.7396008306831413,0.4595422374851987,beta
Q9ProtectSurge,459.3227534536622,Q8Diploma,1.284802243994943,0.6092243752761378,2.1089147055427513,0.03495194463368622,beta
